"","importance","BWrank","lmc","lmc1","lmc10","equal"
"FoodProvision",1.05411274408491,1.15357395612173,1.3189514909549,1.19776308004581,1.04474653638339,1
"AboriginalNeeds",0.825285644584243,0.409058740268932,0,0.379958753433838,0.859707392339123,1
"NaturalProducts",0.806024040671146,0.366595895258316,-0.144364900705796,0.290446560439816,0.839454063964403,1
"CarbonStorage",1.03350160104415,1.12951167728238,1.2406216773936,1.14919536480197,1.03375744258128,1
"CoastalProtection",1.08457646649132,1.22717622080679,1.42345058194676,1.26255682668943,1.05940698635683,1
"CoastalLivelihoods",0.983445967945143,1.05024769992923,1.01626666564103,1.01008600364154,1.00228209294073,1
"TourismRecreation",0.91866808981702,0.430290162774239,-0.0170690019062437,0.36937526821425,0.857312737551527,1
"IconicPlacesSPecies",1.08457646649132,1.1238499646143,1.16943379874932,1.10505594378697,1.02377030945243,1
"CleanWaters",1.12477952022468,1.77636234961076,2.40913393423168,1.87372116115969,1.19769107417679,1
"Biodiversity",1.08502945864606,1.33333333333333,1.58357575369476,1.36184103778669,1.0818713642535,1
