"","importance","BWrank","lmc","lmc1","lmc10","equal"
"FoodProvision",1.0462911549494,1.30369557263081,1.46870841073356,1.31875775846505,1.08216871657658,1
"AboriginalNeeds",0.739433314018901,0.276619099890231,0,0.319923109623375,0.824691183911165,1
"NaturalProducts",0.848022354459193,0.447127698499817,0.249952243882596,0.48990985438571,0.868510015864971,1
"CarbonStorage",1.01508569655476,0.954018782778387,0.931657019923368,0.953521518630413,0.988018873074783,1
"CoastalProtection",1.06515738449056,1.24478594950604,1.33141087486605,1.2253848772159,1.05809924811173,1
"CoastalLivelihoods",1.01473524914659,1.19160873277229,1.20471352600317,1.13922093818227,1.03588808588099,1
"TourismRecreation",0.949612684191273,0.580314672521039,0.435566524196165,0.616141836950858,0.901049835595924,1
"IconicPlacesSPecies",1.07734680700071,1.0529332845469,1.04143976502097,1.0281822265334,1.00726475614483,1
"CleanWaters",1.157011752639,1.80436638614465,2.12608497496206,1.76582436807204,1.19741262377602,1
"Biodiversity",1.08730360254961,1.14452982070984,1.21046666041206,1.14313351194099,1.03689666106301,1
